ProfileID,MeastID,TowPresentBits_Tow32toTow01,U-Sensor,U-TowChangeProgramed,t01d,t01i,t01us,t01xc,t02d,t02i,t02us,t02xc,t03d,t03i,t03us,t03xc,t04d,t04i,t04us,t04xc,t05d,t05i,t05us,t05xc,t06d,t06i,t06us,t06xc,t07d,t07i,t07us,t07xc,t08d,t08i,t08us,t08xc,t09d,t09i,t09us,t09xc,t10d,t10i,t10us,t10xc,t11d,t11i,t11us,t11xc,t12d,t12i,t12us,t12xc,t13d,t13i,t13us,t13xc,t14d,t14i,t14us,t14xc,t15d,t15i,t15us,t15xc,t16d,t16i,t16us,t16xc,t17d,t17i,t17us,t17xc,t18d,t18i,t18us,t18xc,t19d,t19i,t19us,t19xc,t20d,t20i,t20us,t20xc,t21d,t21i,t21us,t21xc,t22d,t22i,t22us,t22xc,t23d,t23i,t23us,t23xc,t24d,t24i,t24us,t24xc,t25d,t25i,t25us,t25xc,t26d,t26i,t26us,t26xc,t27d,t27i,t27us,t27xc,t28d,t28i,t28us,t28xc,t29d,t29i,t29us,t29xc,t30d,t30i,t30us,t30xc,t31d,t31i,t31us,t31xc,t32d,t32i,t32us,t32xc
283718,63,00000000111111111111111100000000,0.036,0.0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,1,69.9253731343,0.409194029851,-22.905335,1,69.6688741722,0.396112582781,-19.740775,1,69.9090909091,0.408363636364,-16.576215,1,69.2115384615,0.372788461538,-13.411655,1,69.008,0.362408,-10.247095,1,69.8358208955,0.404626865672,-7.082535,1,69.8440366972,0.40504587156,-3.917975,1,69.4161490683,0.383223602484,-0.753415,1,68.7150837989,0.347469273743,2.411145,1,68.7909090909,0.351336363636,5.575705,1,69.0,0.362,8.740265,1,68.9761904762,0.360785714286,11.904825,1,67.4897959184,0.286,15.069385,1,68.0,0.311,18.233945,1,67.7012987013,0.296363636364,21.398505,1,67.5931372549,0.29106372549,24.563065,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN
283800,145,00000000000000000000000000000000,5.053,5.0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,-1,149.353448276,5.39426724138,-22.905335,-1,150.02,5.43628,-19.740775,-1,150.341836735,5.45687755102,-16.576215,-1,150.14213198,5.4440964467,-13.411655,-1,149.292682927,5.39043902439,-10.247095,-1,149.2,5.3846,-7.082535,-1,148.572992701,5.34467153285,-3.917975,-1,148.153846154,5.31784615385,-0.753415,-1,146.697115385,5.22491826923,2.411145,-1,145.378947368,5.14125263158,5.575705,-1,146.183168317,5.19253960396,8.740265,-1,148.298245614,5.3270877193,11.904825,-1,145.772277228,5.16642574257,15.069385,-1,145.962264151,5.17858490566,18.233945,-1,147.456647399,5.27322543353,21.398505,-1,145.888888889,5.17388888889,24.563065,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN
283831,176,00000000111111111111111100000000,7.025,7.0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,1,176.182572614,7.1006846473,-22.905335,1,178.448275862,7.24468965517,-19.740775,1,178.417582418,7.24272527473,-16.576215,1,181.180851064,7.41857446809,-13.411655,1,180.772277228,7.39265346535,-10.247095,1,181.243421053,7.42257894737,-7.082535,1,180.947368421,7.40368421053,-3.917975,1,181.555555556,7.44255555556,-0.753415,1,181.659090909,7.44918181818,2.411145,1,180.202453988,7.35675460123,5.575705,1,180.107142857,7.35075,8.740265,1,181.885714286,7.46368571429,11.904825,1,181.348314607,7.42929213483,15.069385,1,180.786764706,7.39356617647,18.233945,1,181.722772277,7.45325742574,21.398505,1,178.754098361,7.26426229508,24.563065,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN
283910,255,00000000000000000000000000000000,12.053,12.0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,-1,260.968085106,12.4969574468,-22.905335,-1,260.702247191,12.4799438202,-19.740775,-1,261.041916168,12.5016407186,-16.576215,-1,260.52173913,12.4683913043,-13.411655,-1,261.0,12.499,-10.247095,-1,261.0,12.499,-7.082535,-1,261.0,12.499,-3.917975,-1,261.0,12.499,-0.753415,-1,258.98136646,12.369826087,2.411145,-1,261.0,12.499,5.575705,-1,261.0,12.499,8.740265,-1,261.0,12.499,11.904825,-1,260.673684211,12.4781157895,15.069385,-1,260.855932203,12.489779661,18.233945,-1,260.402173913,12.4607391304,21.398505,-1,259.407407407,12.3970740741,24.563065,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN
283941,286,00000000111111111111111100000000,14.025,14.0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,1,289.25748503,14.2962215569,-22.905335,1,292.024390244,14.4715609756,-19.740775,1,291.826388889,14.4590625,-16.576215,1,290.290540541,14.3615945946,-13.411655,1,291.85,14.46055,-10.247095,1,290.388059701,14.3678358209,-7.082535,1,290.976878613,14.4055202312,-3.917975,1,291.089820359,14.4126586826,-0.753415,1,290.306930693,14.3626435644,2.411145,1,289.985221675,14.3420689655,5.575705,1,289.684210526,14.3231052632,8.740265,1,290.588607595,14.3806708861,11.904825,1,290.754285714,14.3912742857,15.069385,1,290.507853403,14.3755026178,18.233945,1,290.630434783,14.3833478261,21.398505,1,290.988571429,14.4062685714,24.563065,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN
284021,366,00000000111111111111111000000000,19.116,19.059,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,-1,370.293838863,19.4518056872,-22.905335,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN
284023,368,00000000111111111111110000000000,19.242,19.184,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,-1,374.815533981,19.7403786408,-19.740775,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN
284025,370,00000000111111111111100000000000,19.37,19.309,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,-1,376.355828221,19.8387730061,-16.576215,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN
284027,372,00000000111111111111000000000000,19.497,19.438,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,-1,377.672955975,19.9223962264,-13.411655,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN
284028,373,00000000111111111110000000000000,19.561,19.559,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,-1,378.682352941,19.9866705882,-10.247095,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN
284030,375,00000000111111111100000000000000,19.689,19.685,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,-1,381.709677419,20.1794193548,-7.082535,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN
284032,377,00000000111111111000000000000000,19.816,19.81,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,-1,382.753246753,20.2454545455,-3.917975,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN
284034,379,00000000111111110000000000000000,19.943,19.935,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,-1,385.903448276,20.4459172414,-0.753415,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN
284036,381,00000000111111100000000000000000,20.07,20.06,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,-1,387.070866142,20.5205354331,2.411145,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN
284038,383,00000000111111000000000000000000,20.198,20.185,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,-1,389.383647799,20.6675534591,5.575705,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN
284040,385,00000000111110000000000000000000,20.325,20.31,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,-1,391.4,20.7962,8.740265,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN
284042,387,00000000111100000000000000000000,20.452,20.435,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,-1,393.654320988,20.9392222222,11.904825,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN
284044,389,00000000111000000000000000000000,20.58,20.56,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,-1,395.745762712,21.0719830508,15.069385,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN
