ProfileID,MeastID,U-Sensor,GapPresentBits_Gap3233toGap0001,meast_idx
284151,496,27.388,000000000111111111111111000000000,495
284152,497,27.452,000000000111111111111111000000000,496
284153,498,27.515,000000000111111111111111000000000,497
284154,499,27.579,000000000111111111111111000000000,498
284155,500,27.642,000000000111111111111111000000000,499
284156,501,27.706,000000000111111111111111000000000,500
284157,502,27.77,000000000111111111111111000000000,501
284158,503,27.833,000000000111111111111111000000000,502
284159,504,27.897,000000000111111111111111000000000,503
284160,505,27.961,000000000111111111111111000000000,504
284161,506,28.024,000000000111111111111111000000000,505
284162,507,28.087,000000000111111111111111000000000,506
284163,508,28.152,000000000111111111111110000000000,507
284164,509,28.214,000000000111111111111110000000000,508
284165,510,28.278,000000000111111111111110000000000,509
284166,511,28.341,000000000111111111111110000000000,510
284167,512,28.405,000000000111111111111100000000000,511
284168,513,28.469,000000000111111111111100000000000,512
284169,514,28.532,000000000111111111111100000000000,513
284170,515,28.596,000000000111111111111100000000000,514
284171,516,28.66,000000000111111111111000000000000,515
284172,517,28.723,000000000111111111111000000000000,516
284173,518,28.787,000000000111111111111000000000000,517
284174,519,28.851,000000000111111111111000000000000,518
284175,520,28.915,000000000111111111110000000000000,519
284176,521,28.978,000000000111111111110000000000000,520
284177,522,29.042,000000000111111111110000000000000,521
284178,523,29.105,000000000111111111110000000000000,522
284179,524,29.169,000000000111111111100000000000000,523
284180,525,29.232,000000000111111111100000000000000,524
284181,526,29.296,000000000111111111100000000000000,525
284182,527,29.36,000000000111111111100000000000000,526
284183,528,29.424,000000000111111111000000000000000,527
284184,529,29.488,000000000111111111000000000000000,528
284185,530,29.551,000000000111111111000000000000000,529
284186,531,29.615,000000000111111111000000000000000,530
284187,532,29.679,000000000111111110000000000000000,531
284188,533,29.742,000000000111111110000000000000000,532
284189,534,29.806,000000000111111110000000000000000,533
284190,535,29.87,000000000111111110000000000000000,534
284191,536,29.933,000000000111111100000000000000000,535
284192,537,29.997,000000000111111100000000000000000,536
284193,538,30.061,000000000111111100000000000000000,537
284194,539,30.124,000000000111111000000000000000000,538
284195,540,30.188,000000000111111000000000000000000,539
284196,541,30.251,000000000111111000000000000000000,540
284197,542,30.315,000000000111111000000000000000000,541
284198,543,30.379,000000000111110000000000000000000,542
284199,544,30.442,000000000111110000000000000000000,543
284200,545,30.506,000000000111110000000000000000000,544
284201,546,30.57,000000000111110000000000000000000,545
284202,547,30.633,000000000111100000000000000000000,546
284203,548,30.696,000000000111100000000000000000000,547
284204,549,30.76,000000000111100000000000000000000,548
284205,550,30.824,000000000111100000000000000000000,549
284206,551,30.887,000000000111000000000000000000000,550
284207,552,30.951,000000000111000000000000000000000,551
284208,553,31.014,000000000111000000000000000000000,552
284209,554,31.078,000000000111000000000000000000000,553
284210,555,31.141,000000000110000000000000000000000,554
284211,556,31.205,000000000110000000000000000000000,555
284212,557,31.268,000000000110000000000000000000000,556
284213,558,31.332,000000000110000000000000000000000,557
284214,559,31.396,000000000100000000000000000000000,558
284215,560,31.46,000000000100000000000000000000000,559
284216,561,31.523,000000000100000000000000000000000,560
284217,562,31.587,000000000100000000000000000000000,561
284261,606,34.387,000000000000000000000001000000000,605
284262,607,34.451,000000000000000000000001000000000,606
284263,608,34.515,000000000000000000000001000000000,607
284264,609,34.578,000000000000000000000001000000000,608
284265,610,34.641,000000000000000000000011000000000,609
284266,611,34.705,000000000000000000000011000000000,610
284267,612,34.768,000000000000000000000011000000000,611
284268,613,34.832,000000000000000000000011000000000,612
284269,614,34.896,000000000000000000000111000000000,613
284270,615,34.959,000000000000000000000111000000000,614
284271,616,35.023,000000000000000000000111000000000,615
284272,617,35.086,000000000000000000000111000000000,616
284273,618,35.15,000000000000000000001111000000000,617
284274,619,35.213,000000000000000000001111000000000,618
284275,620,35.277,000000000000000000001111000000000,619
284276,621,35.341,000000000000000000001111000000000,620
284277,622,35.405,000000000000000000011111000000000,621
284278,623,35.468,000000000000000000011111000000000,622
284279,624,35.532,000000000000000000011111000000000,623
284280,625,35.596,000000000000000000011111000000000,624
284281,626,35.659,000000000000000000111111000000000,625
284282,627,35.723,000000000000000000111111000000000,626
284283,628,35.786,000000000000000000111111000000000,627
284284,629,35.85,000000000000000000111111000000000,628
284285,630,35.914,000000000000000001111111000000000,629
284286,631,35.978,000000000000000001111111000000000,630
284287,632,36.041,000000000000000001111111000000000,631
284288,633,36.105,000000000000000001111111000000000,632
284289,634,36.169,000000000000000011111111000000000,633
284290,635,36.233,000000000000000011111111000000000,634
284291,636,36.296,000000000000000011111111000000000,635
284292,637,36.36,000000000000000011111111000000000,636
284293,638,36.424,000000000000000111111111000000000,637
284294,639,36.487,000000000000000111111111000000000,638
284295,640,36.551,000000000000000111111111000000000,639
284296,641,36.615,000000000000000111111111000000000,640
284297,642,36.678,000000000000001111111111000000000,641
284298,643,36.742,000000000000001111111111000000000,642
284299,644,36.806,000000000000001111111111000000000,643
284300,645,36.869,000000000000001111111111000000000,644
284301,646,36.932,000000000000011111111111000000000,645
284302,647,36.996,000000000000011111111111000000000,646
284303,648,37.059,000000000000011111111111000000000,647
284304,649,37.123,000000000000111111111111000000000,648
284305,650,37.186,000000000000111111111111000000000,649
284306,651,37.25,000000000000111111111111000000000,650
284307,652,37.314,000000000000111111111111000000000,651
284308,653,37.377,000000000001111111111111000000000,652
284309,654,37.441,000000000001111111111111000000000,653
284310,655,37.505,000000000001111111111111000000000,654
284311,656,37.569,000000000001111111111111000000000,655
284312,657,37.631,000000000011111111111111000000000,656
284313,658,37.695,000000000011111111111111000000000,657
284314,659,37.759,000000000011111111111111000000000,658
284315,660,37.822,000000000011111111111111000000000,659
284316,661,37.886,000000000111111111111111000000000,660
284317,662,37.95,000000000111111111111111000000000,661
284318,663,38.014,000000000111111111111111000000000,662
284319,664,38.078,000000000111111111111111000000000,663
284320,665,38.142,000000000111111111111111000000000,664
284321,666,38.205,000000000111111111111111000000000,665
284322,667,38.268,000000000111111111111111000000000,666
284323,668,38.332,000000000111111111111111000000000,667
284324,669,38.396,000000000111111111111111000000000,668
284325,670,38.459,000000000111111111111111000000000,669
284326,671,38.522,000000000111111111111111000000000,670
284327,672,38.586,000000000111111111111111000000000,671
284328,673,38.65,000000000111111111111111000000000,672
284329,674,38.714,000000000111111111111111000000000,673
284330,675,38.778,000000000111111111111111000000000,674
284331,676,38.841,000000000111111111111111000000000,675
284332,677,38.905,000000000111111111111111000000000,676
284333,678,38.968,000000000111111111111111000000000,677
284334,679,39.032,000000000111111111111111000000000,678
284335,680,39.096,000000000111111111111111000000000,679
284336,681,39.16,000000000111111111111111000000000,680
284337,682,39.223,000000000111111111111111000000000,681
284338,683,39.286,000000000111111111111110000000000,682
284339,684,39.35,000000000111111111111110000000000,683
284340,685,39.413,000000000111111111111110000000000,684
284341,686,39.477,000000000111111111111110000000000,685
284342,687,39.541,000000000111111111111110000000000,686
284343,688,39.605,000000000111111111111110000000000,687
284344,689,39.669,000000000111111111111110000000000,688
284345,690,39.732,000000000111111111111110000000000,689
284346,691,39.795,000000000111111111111100000000000,690
284347,692,39.859,000000000111111111111100000000000,691
284348,693,39.923,000000000111111111111100000000000,692
284349,694,39.986,000000000111111111111100000000000,693
284350,695,40.049,000000000111111111111100000000000,694
284351,696,40.113,000000000111111111111100000000000,695
284352,697,40.177,000000000111111111111100000000000,696
284353,698,40.24,000000000111111111111000000000000,697
284354,699,40.305,000000000111111111111000000000000,698
284355,700,40.369,000000000111111111111000000000000,699
284356,701,40.432,000000000111111111111000000000000,700
284357,702,40.495,000000000111111111111000000000000,701
284358,703,40.559,000000000111111111111000000000000,702
284359,704,40.623,000000000111111111111000000000000,703
284360,705,40.686,000000000111111111111000000000000,704
284361,706,40.75,000000000111111111110000000000000,705
284362,707,40.814,000000000111111111110000000000000,706
284363,708,40.878,000000000111111111110000000000000,707
284364,709,40.941,000000000111111111110000000000000,708
284365,710,41.005,000000000111111111110000000000000,709
284366,711,41.069,000000000111111111110000000000000,710
284367,712,41.133,000000000111111111110000000000000,711
284368,713,41.196,000000000111111111110000000000000,712
284369,714,41.259,000000000111111111100000000000000,713
284370,715,41.322,000000000111111111100000000000000,714
284371,716,41.386,000000000111111111100000000000000,715
284372,717,41.449,000000000111111111100000000000000,716
284373,718,41.513,000000000111111111100000000000000,717
284374,719,41.576,000000000111111111100000000000000,718
284375,720,41.64,000000000111111111100000000000000,719
284376,721,41.704,000000000111111111100000000000000,720
284377,722,41.768,000000000111111111000000000000000,721
284378,723,41.832,000000000111111111000000000000000,722
284379,724,41.896,000000000111111111000000000000000,723
284380,725,41.959,000000000111111111000000000000000,724
284381,726,42.023,000000000111111111000000000000000,725
284382,727,42.086,000000000111111111000000000000000,726
284383,728,42.149,000000000111111111000000000000000,727
284384,729,42.213,000000000111111111000000000000000,728
284385,730,42.277,000000000111111110000000000000000,729
284386,731,42.342,000000000111111110000000000000000,730
284387,732,42.405,000000000111111110000000000000000,731
284388,733,42.468,000000000111111110000000000000000,732
284389,734,42.532,000000000111111110000000000000000,733
284390,735,42.596,000000000111111110000000000000000,734
284391,736,42.66,000000000111111110000000000000000,735
284392,737,42.723,000000000111111110000000000000000,736
284393,738,42.786,000000000111111100000000000000000,737
284394,739,42.849,000000000111111100000000000000000,738
284395,740,42.913,000000000111111100000000000000000,739
284396,741,42.977,000000000111111100000000000000000,740
284397,742,43.04,000000000111111100000000000000000,741
284398,743,43.103,000000000111111100000000000000000,742
284399,744,43.167,000000000111111100000000000000000,743
284400,745,43.231,000000000111111100000000000000000,744
284401,746,43.295,000000000111111000000000000000000,745
284402,747,43.358,000000000111111000000000000000000,746
284403,748,43.422,000000000111111000000000000000000,747
284404,749,43.485,000000000111111000000000000000000,748
284405,750,43.549,000000000111111000000000000000000,749
284406,751,43.613,000000000111111000000000000000000,750
284407,752,43.676,000000000111111000000000000000000,751
284408,753,43.74,000000000111110000000000000000000,752
284409,754,43.805,000000000111110000000000000000000,753
284410,755,43.868,000000000111110000000000000000000,754
284411,756,43.932,000000000111110000000000000000000,755
284412,757,43.996,000000000111110000000000000000000,756
284413,758,44.06,000000000111110000000000000000000,757
284414,759,44.123,000000000111110000000000000000000,758
284415,760,44.187,000000000111110000000000000000000,759
284416,761,44.25,000000000111100000000000000000000,760
284417,762,44.313,000000000111100000000000000000000,761
284418,763,44.377,000000000111100000000000000000000,762
284419,764,44.441,000000000111100000000000000000000,763
284420,765,44.505,000000000111100000000000000000000,764
284421,766,44.568,000000000111100000000000000000000,765
284422,767,44.632,000000000111100000000000000000000,766
284423,768,44.696,000000000111100000000000000000000,767
284424,769,44.759,000000000111100000000000000000000,768
284425,770,44.823,000000000111100000000000000000000,769
284426,771,44.886,000000000111000000000000000000000,770
284427,772,44.95,000000000111000000000000000000000,771
284428,773,45.013,000000000111000000000000000000000,772
284429,774,45.077,000000000111000000000000000000000,773
284430,775,45.14,000000000111000000000000000000000,774
284431,776,45.203,000000000111000000000000000000000,775
284432,777,45.268,000000000110000000000000000000000,776
284433,778,45.332,000000000110000000000000000000000,777
284434,779,45.395,000000000110000000000000000000000,778
284435,780,45.458,000000000110000000000000000000000,779
284436,781,45.522,000000000110000000000000000000000,780
284437,782,45.586,000000000110000000000000000000000,781
284438,783,45.65,000000000110000000000000000000000,782
284439,784,45.713,000000000110000000000000000000000,783
284440,785,45.777,000000000100000000000000000000000,784
284441,786,45.84,000000000100000000000000000000000,785
284442,787,45.904,000000000100000000000000000000000,786
284443,788,45.968,000000000100000000000000000000000,787
284444,789,46.031,000000000100000000000000000000000,788
284445,790,46.095,000000000100000000000000000000000,789
284446,791,46.158,000000000100000000000000000000000,790
284447,792,46.222,000000000100000000000000000000000,791
284491,836,49.021,000000000111111111111111000000000,835
284492,837,49.085,000000000111111111111111000000000,836
284493,838,49.149,000000000111111111111111000000000,837
284494,839,49.212,000000000111111111111111000000000,838
284495,840,49.276,000000000111111111111111000000000,839
284496,841,49.339,000000000111111111111111000000000,840
284497,842,49.403,000000000111111111111111000000000,841
284498,843,49.467,000000000111111111111111000000000,842
284499,844,49.53,000000000111111111111111000000000,843
284500,845,49.594,000000000111111111111111000000000,844
284501,846,49.658,000000000111111111111111000000000,845
284502,847,49.722,000000000111111111111111000000000,846
284503,848,49.785,000000000111111111111111000000000,847
284504,849,49.849,000000000111111111111111000000000,848
284505,850,49.913,000000000111111111111111000000000,849
284506,851,49.976,000000000111111111111111000000000,850
284507,852,50.04,000000000111111111111111000000000,851
284508,853,50.104,000000000111111111111111000000000,852
284509,854,50.167,000000000111111111111111000000000,853
284510,855,50.231,000000000111111111111111000000000,854
284511,856,50.295,000000000111111111111111000000000,855
284512,857,50.358,000000000111111111111111000000000,856
284513,858,50.422,000000000111111111111111000000000,857
284514,859,50.486,000000000111111111111111000000000,858
284515,860,50.55,000000000111111111111111000000000,859
284516,861,50.613,000000000111111111111111000000000,860
284517,862,50.677,000000000111111111111111000000000,861
284518,863,50.741,000000000111111111111111000000000,862
284519,864,50.804,000000000111111111111111000000000,863
284520,865,50.868,000000000111111111111111000000000,864
284521,866,50.931,000000000111111111111111000000000,865
284522,867,50.994,000000000111111111111111000000000,866
284523,868,51.058,000000000111111111111111000000000,867
284524,869,51.121,000000000111111111111111000000000,868
284525,870,51.186,000000000111111111111111000000000,869
284526,871,51.249,000000000111111111111111000000000,870
284527,872,51.313,000000000111111111111111000000000,871
284528,873,51.376,000000000111111111111111000000000,872
284529,874,51.439,000000000111111111111111000000000,873
284530,875,51.503,000000000111111111111111000000000,874
284531,876,51.567,000000000111111111111111000000000,875
284532,877,51.63,000000000111111111111111000000000,876
284533,878,51.694,000000000111111111111111000000000,877
284534,879,51.758,000000000111111111111111000000000,878
284535,880,51.821,000000000111111111111111000000000,879
284536,881,51.885,000000000111111111111111000000000,880
284537,882,51.949,000000000111111111111111000000000,881
284538,883,52.012,000000000111111111111111000000000,882
284539,884,52.076,000000000111111111111111000000000,883
284540,885,52.14,000000000111111111111111000000000,884
284541,886,52.204,000000000111111111111111000000000,885
284542,887,52.267,000000000111111111111111000000000,886
284543,888,52.331,000000000111111111111111000000000,887
284544,889,52.394,000000000111111111111111000000000,888
284545,890,52.459,000000000111111111111111000000000,889
284546,891,52.522,000000000111111111111111000000000,890
284547,892,52.585,000000000111111111111111000000000,891
284548,893,52.648,000000000111111111111111000000000,892
284549,894,52.712,000000000111111111111111000000000,893
284550,895,52.776,000000000111111111111111000000000,894
284551,896,52.839,000000000111111111111111000000000,895
284552,897,52.903,000000000111111111111111000000000,896
284553,898,52.966,000000000111111111111111000000000,897
284554,899,53.031,000000000111111111111111000000000,898
284555,900,53.094,000000000111111111111111000000000,899
284556,901,53.158,000000000111111111111111000000000,900
284557,902,53.222,000000000111111111111111000000000,901
284558,903,53.285,000000000111111111111111000000000,902
284559,904,53.348,000000000111111111111111000000000,903
284560,905,53.412,000000000111111111111111000000000,904
284561,906,53.476,000000000111111111111111000000000,905
284562,907,53.54,000000000111111111111111000000000,906
284563,908,53.603,000000000111111111111111000000000,907
284564,909,53.668,000000000111111111111111000000000,908
284565,910,53.731,000000000111111111111111000000000,909
284566,911,53.794,000000000111111111111111000000000,910
284567,912,53.858,000000000111111111111111000000000,911
284568,913,53.922,000000000111111111111111000000000,912
284569,914,53.986,000000000111111111111111000000000,913
